"","Trip.ID","Duration","Start.Date","Start.Station","Start.Terminal","End.Date","End.Station","End.Terminal","Bike..","Subscriber.Type","Zip.Code","Zip_Test","Zip_Val","Zip_Val1"
"128",346279,826,"7/1/2014 8:30","Mechanics Plaza (Market at Battery)",75,"7/1/2014 8:43","South Van Ness at Market",66,514,"Subscriber","9611",4,"DISCARD","yes"
"129",345433,766,"6/30/2014 17:19","South Van Ness at Market",66,"6/30/2014 17:31","Temporary Transbay Terminal (Howard at Beale)",55,318,"Subscriber","9611",4,"DISCARD","yes"
"130",344610,633,"6/30/2014 8:41","Mechanics Plaza (Market at Battery)",75,"6/30/2014 8:51","South Van Ness at Market",66,314,"Subscriber","9611",4,"DISCARD","yes"
"131",342577,853,"6/27/2014 17:12","South Van Ness at Market",66,"6/27/2014 17:27","Temporary Transbay Terminal (Howard at Beale)",55,417,"Subscriber","9611",4,"DISCARD","yes"
"132",342110,11434,"6/27/2014 12:00","Market at 4th",76,"6/27/2014 15:11","Powell Street BART",39,377,"Customer","9405",4,"DISCARD","yes"
"133",341707,810,"6/27/2014 8:10","Mechanics Plaza (Market at Battery)",75,"6/27/2014 8:24","South Van Ness at Market",66,267,"Subscriber","9611",4,"DISCARD","yes"
"134",341011,799,"6/26/2014 17:10","South Van Ness at Market",66,"6/26/2014 17:24","Temporary Transbay Terminal (Howard at Beale)",55,392,"Subscriber","9611",4,"DISCARD","yes"
"135",340070,709,"6/26/2014 8:24","Mechanics Plaza (Market at Battery)",75,"6/26/2014 8:36","South Van Ness at Market",66,439,"Subscriber","9611",4,"DISCARD","yes"
"136",335776,739,"6/23/2014 17:14","South Van Ness at Market",66,"6/23/2014 17:27","Temporary Transbay Terminal (Howard at Beale)",55,501,"Subscriber","9611",4,"DISCARD","yes"
"137",334959,669,"6/23/2014 8:30","Mechanics Plaza (Market at Battery)",75,"6/23/2014 8:42","South Van Ness at Market",66,559,"Subscriber","9611",4,"DISCARD","yes"
"138",333489,1105,"6/21/2014 1:57","Mountain View Caltrain Station",28,"6/21/2014 2:15","Mountain View Caltrain Station",28,241,"Customer","9512",4,"DISCARD","yes"
"139",333488,1097,"6/21/2014 1:57","Mountain View Caltrain Station",28,"6/21/2014 2:15","Mountain View Caltrain Station",28,662,"Customer","9512",4,"DISCARD","yes"
"140",333088,790,"6/20/2014 17:20","South Van Ness at Market",66,"6/20/2014 17:34","Temporary Transbay Terminal (Howard at Beale)",55,524,"Subscriber","9611",4,"DISCARD","yes"
"141",332222,721,"6/20/2014 8:29","Mechanics Plaza (Market at Battery)",75,"6/20/2014 8:41","South Van Ness at Market",66,376,"Subscriber","9611",4,"DISCARD","yes"
"142",331456,930,"6/19/2014 17:12","South Van Ness at Market",66,"6/19/2014 17:28","Temporary Transbay Terminal (Howard at Beale)",55,370,"Subscriber","9611",4,"DISCARD","yes"
"143",330656,688,"6/19/2014 8:41","Mechanics Plaza (Market at Battery)",75,"6/19/2014 8:52","South Van Ness at Market",66,456,"Subscriber","9611",4,"DISCARD","yes"
"144",330018,744,"6/18/2014 18:02","South Van Ness at Market",66,"6/18/2014 18:15","2nd at Folsom",62,636,"Customer","9405",4,"DISCARD","yes"
"145",329843,832,"6/18/2014 17:16","South Van Ness at Market",66,"6/18/2014 17:30","Temporary Transbay Terminal (Howard at Beale)",55,381,"Subscriber","9611",4,"DISCARD","yes"
"146",329219,547,"6/18/2014 9:39","5th at Howard",57,"6/18/2014 9:48","South Van Ness at Market",66,420,"Customer","9405",4,"DISCARD","yes"
"147",328991,647,"6/18/2014 8:31","Mechanics Plaza (Market at Battery)",75,"6/18/2014 8:42","South Van Ness at Market",66,277,"Subscriber","9611",4,"DISCARD","yes"
"148",328508,360,"6/17/2014 19:17","Market at 4th",76,"6/17/2014 19:23","Temporary Transbay Terminal (Howard at Beale)",55,286,"Subscriber","9611",4,"DISCARD","yes"
"149",327740,235,"6/17/2014 12:47","San Francisco City Hall",58,"6/17/2014 12:51","South Van Ness at Market",66,517,"Subscriber","9611",4,"DISCARD","yes"
"150",327312,731,"6/17/2014 8:36","Mechanics Plaza (Market at Battery)",75,"6/17/2014 8:48","South Van Ness at Market",66,626,"Subscriber","9611",4,"DISCARD","yes"
"151",326426,772,"6/16/2014 17:08","South Van Ness at Market",66,"6/16/2014 17:21","Temporary Transbay Terminal (Howard at Beale)",55,600,"Subscriber","9611",4,"DISCARD","yes"
"152",326102,1367,"6/16/2014 14:14","Broadway St at Battery St",82,"6/16/2014 14:37","Powell at Post (Union Square)",71,561,"Customer","9142",4,"DISCARD","yes"
"153",326022,3955,"6/16/2014 12:37","Embarcadero at Vallejo",48,"6/16/2014 13:43","Embarcadero at Sansome",60,455,"Customer","9142",4,"DISCARD","yes"
"154",325952,970,"6/16/2014 11:17","Market at 4th",76,"6/16/2014 11:33","Harry Bridges Plaza (Ferry Building)",50,311,"Customer","9142",4,"DISCARD","yes"
"155",325635,723,"6/16/2014 8:49","Mechanics Plaza (Market at Battery)",75,"6/16/2014 9:01","South Van Ness at Market",66,553,"Subscriber","9611",4,"DISCARD","yes"
"156",324352,1043,"6/14/2014 13:33","2nd at Townsend",61,"6/14/2014 13:51","Davis at Jackson",42,572,"Customer","9413",4,"DISCARD","yes"
"157",324260,1067,"6/14/2014 11:14","Davis at Jackson",42,"6/14/2014 11:32","San Francisco Caltrain (Townsend at 4th)",70,562,"Customer","9413",4,"DISCARD","yes"
"158",323644,869,"6/13/2014 17:10","South Van Ness at Market",66,"6/13/2014 17:25","Temporary Transbay Terminal (Howard at Beale)",55,423,"Subscriber","9611",4,"DISCARD","yes"
"159",322768,758,"6/13/2014 8:29","Mechanics Plaza (Market at Battery)",75,"6/13/2014 8:42","South Van Ness at Market",66,349,"Subscriber","9611",4,"DISCARD","yes"
"160",322206,593,"6/12/2014 17:59","South Van Ness at Market",66,"6/12/2014 18:09","Market at Sansome",77,379,"Customer","9405",4,"DISCARD","yes"
"161",322047,664,"6/12/2014 17:16","South Van Ness at Market",66,"6/12/2014 17:27","Beale at Market",56,596,"Subscriber","9611",4,"DISCARD","yes"
"162",321339,644,"6/12/2014 8:55","Yerba Buena Center of the Arts (3rd @ Howard)",68,"6/12/2014 9:06","South Van Ness at Market",66,290,"Customer","9405",4,"DISCARD","yes"
"163",321268,726,"6/12/2014 8:36","Mechanics Plaza (Market at Battery)",75,"6/12/2014 8:48","South Van Ness at Market",66,314,"Subscriber","9611",4,"DISCARD","yes"
"164",320476,705,"6/11/2014 17:15","South Van Ness at Market",66,"6/11/2014 17:26","Beale at Market",56,412,"Subscriber","9611",4,"DISCARD","yes"
"165",319611,841,"6/11/2014 8:32","Mechanics Plaza (Market at Battery)",75,"6/11/2014 8:46","South Van Ness at Market",66,238,"Subscriber","9611",4,"DISCARD","yes"
"166",318792,739,"6/10/2014 17:12","South Van Ness at Market",66,"6/10/2014 17:25","Beale at Market",56,356,"Subscriber","9611",4,"DISCARD","yes"
"167",318704,358,"6/10/2014 16:49","2nd at South Park",64,"6/10/2014 16:55","Market at Sansome",77,541,"Customer","9404",4,"DISCARD","yes"
"168",318516,381,"6/10/2014 15:12","Market at Sansome",77,"6/10/2014 15:18","2nd at South Park",64,515,"Customer","9404",4,"DISCARD","yes"
"169",317888,791,"6/10/2014 8:18","Mechanics Plaza (Market at Battery)",75,"6/10/2014 8:31","South Van Ness at Market",66,525,"Subscriber","9611",4,"DISCARD","yes"
"170",317610,551,"6/9/2014 22:40","Embarcadero at Bryant",54,"6/9/2014 22:50","Grant Avenue at Columbus Avenue",73,520,"Customer","9413",4,"DISCARD","yes"
"171",317088,741,"6/9/2014 17:20","South Van Ness at Market",66,"6/9/2014 17:32","Beale at Market",56,527,"Subscriber","9611",4,"DISCARD","yes"
"172",316889,9356,"6/9/2014 16:16","Market at 4th",76,"6/9/2014 18:52","Broadway St at Battery St",82,510,"Customer","94",2,"DISCARD","yes"
"173",316193,685,"6/9/2014 8:33","Mechanics Plaza (Market at Battery)",75,"6/9/2014 8:45","South Van Ness at Market",66,360,"Subscriber","9611",4,"DISCARD","yes"
"174",315546,654,"6/8/2014 15:00","Harry Bridges Plaza (Ferry Building)",50,"6/8/2014 15:11","Grant Avenue at Columbus Avenue",73,281,"Customer","9413",4,"DISCARD","yes"
"175",315467,1140,"6/8/2014 13:38","5th at Howard",57,"6/8/2014 13:57","Harry Bridges Plaza (Ferry Building)",50,337,"Customer","9413",4,"DISCARD","yes"
"176",314244,754,"6/6/2014 17:26","South Van Ness at Market",66,"6/6/2014 17:39","Beale at Market",56,338,"Subscriber","9611",4,"DISCARD","yes"
"177",313327,840,"6/6/2014 8:33","Temporary Transbay Terminal (Howard at Beale)",55,"6/6/2014 8:47","South Van Ness at Market",66,505,"Subscriber","9611",4,"DISCARD","yes"
"178",312583,618,"6/5/2014 17:24","Market at 10th",67,"6/5/2014 17:35","Mechanics Plaza (Market at Battery)",75,342,"Subscriber","9611",4,"DISCARD","yes"
"179",311705,709,"6/5/2014 8:18","Mechanics Plaza (Market at Battery)",75,"6/5/2014 8:30","South Van Ness at Market",66,463,"Subscriber","9611",4,"DISCARD","yes"
"180",305876,5521,"6/1/2014 14:40","Embarcadero at Sansome",60,"6/1/2014 16:12","Embarcadero at Vallejo",48,411,"Customer","9735",4,"DISCARD","yes"
"181",304955,1143,"5/30/2014 23:40","Golden Gate at Polk",59,"5/30/2014 23:59","Grant Avenue at Columbus Avenue",73,351,"Customer","9413",4,"DISCARD","yes"
"182",303458,382,"5/29/2014 19:24","Townsend at 7th",65,"5/29/2014 19:30","San Francisco Caltrain (Townsend at 4th)",70,466,"Customer","9440",4,"DISCARD","yes"
"183",298298,824,"5/26/2014 13:03","Harry Bridges Plaza (Ferry Building)",50,"5/26/2014 13:17","2nd at Townsend",61,411,"Customer","9458",4,"DISCARD","yes"
"184",298297,831,"5/26/2014 13:03","Harry Bridges Plaza (Ferry Building)",50,"5/26/2014 13:17","2nd at Townsend",61,525,"Customer","9458",4,"DISCARD","yes"
"185",297001,1234,"5/24/2014 14:14","Steuart at Market",74,"5/24/2014 14:35","Market at 10th",67,492,"Customer","9",1,"DISCARD","yes"
"186",297000,1234,"5/24/2014 14:14","Steuart at Market",74,"5/24/2014 14:35","Market at 10th",67,445,"Customer","9",1,"DISCARD","yes"
"187",296901,1000,"5/24/2014 11:26","Market at 10th",67,"5/24/2014 11:42","Steuart at Market",74,545,"Customer","9",1,"DISCARD","yes"
"188",296900,1013,"5/24/2014 11:25","Market at 10th",67,"5/24/2014 11:42","Steuart at Market",74,288,"Customer","9",1,"DISCARD","yes"
"189",293138,986,"5/21/2014 16:10","San Francisco Caltrain (Townsend at 4th)",70,"5/21/2014 16:27","Harry Bridges Plaza (Ferry Building)",50,878,"Customer","9711",4,"DISCARD","yes"
"190",293002,822,"5/21/2014 13:37","Ryland Park",84,"5/21/2014 13:50","Paseo de San Antonio",7,52,"Customer","9835",4,"DISCARD","yes"
"191",292964,1665,"5/21/2014 13:01","Ryland Park",84,"5/21/2014 13:29","Ryland Park",84,52,"Customer","9835",4,"DISCARD","yes"
"192",292923,1549,"5/21/2014 12:26","Ryland Park",84,"5/21/2014 12:52","Ryland Park",84,52,"Customer","9835",4,"DISCARD","yes"
"193",289214,803,"5/19/2014 7:36","Steuart at Market",74,"5/19/2014 7:50","Townsend at 7th",65,472,"Customer","9426",4,"DISCARD","yes"
"194",279165,12708,"5/10/2014 13:36","California Ave Caltrain Station",36,"5/10/2014 17:08","University and Emerson",35,139,"Customer","9401",4,"DISCARD","yes"
"195",279164,12735,"5/10/2014 13:36","California Ave Caltrain Station",36,"5/10/2014 17:08","University and Emerson",35,51,"Customer","9401",4,"DISCARD","yes"
"196",270297,597,"5/3/2014 3:28","Temporary Transbay Terminal (Howard at Beale)",55,"5/3/2014 3:38","San Francisco Caltrain (Townsend at 4th)",70,569,"Customer","9410",4,"DISCARD","yes"
"197",268370,489,"5/1/2014 17:00","Embarcadero at Vallejo",48,"5/1/2014 17:08","Harry Bridges Plaza (Ferry Building)",50,623,"Customer","9414",4,"DISCARD","yes"
"198",268290,530,"5/1/2014 16:19","Spear at Folsom",49,"5/1/2014 16:28","San Francisco Caltrain (Townsend at 4th)",70,498,"Customer","9303",4,"DISCARD","yes"
"199",268131,843,"5/1/2014 13:50","Harry Bridges Plaza (Ferry Building)",50,"5/1/2014 14:04","Embarcadero at Vallejo",48,419,"Customer","9414",4,"DISCARD","yes"
"200",265621,347,"4/29/2014 19:26","2nd at Folsom",62,"4/29/2014 19:32","Spear at Folsom",49,354,"Customer","9170",4,"DISCARD","yes"
"201",265406,220,"4/29/2014 18:04","Yerba Buena Center of the Arts (3rd @ Howard)",68,"4/29/2014 18:08","Howard at 2nd",63,424,"Customer","9170",4,"DISCARD","yes"
"202",264239,166,"4/29/2014 7:13","Howard at 2nd",63,"4/29/2014 7:15","Yerba Buena Center of the Arts (3rd @ Howard)",68,436,"Customer","9170",4,"DISCARD","yes"
"203",264149,340,"4/28/2014 22:33","Market at 4th",76,"4/28/2014 22:39","Howard at 2nd",63,509,"Customer","9170",4,"DISCARD","yes"
"204",264148,359,"4/28/2014 22:33","Market at 4th",76,"4/28/2014 22:39","Howard at 2nd",63,542,"Customer","9170",4,"DISCARD","yes"
"205",263771,696,"4/28/2014 17:54","San Francisco City Hall",58,"4/28/2014 18:06","Powell Street BART",39,466,"Customer","9170",4,"DISCARD","yes"
"206",262564,981,"4/27/2014 20:07","Golden Gate at Polk",59,"4/27/2014 20:23","Howard at 2nd",63,355,"Customer","9170",4,"DISCARD","yes"
"207",262563,1005,"4/27/2014 20:07","Golden Gate at Polk",59,"4/27/2014 20:23","Howard at 2nd",63,501,"Customer","9170",4,"DISCARD","yes"
"208",262350,978,"4/27/2014 14:46","Powell at Post (Union Square)",71,"4/27/2014 15:02","Golden Gate at Polk",59,399,"Customer","9170",4,"DISCARD","yes"
"209",262349,989,"4/27/2014 14:46","Powell at Post (Union Square)",71,"4/27/2014 15:02","Golden Gate at Polk",59,626,"Customer","9170",4,"DISCARD","yes"
"210",262213,2342,"4/27/2014 11:39","Harry Bridges Plaza (Ferry Building)",50,"4/27/2014 12:18","Embarcadero at Sansome",60,377,"Customer","9170",4,"DISCARD","yes"
"211",262212,2343,"4/27/2014 11:39","Harry Bridges Plaza (Ferry Building)",50,"4/27/2014 12:18","Embarcadero at Sansome",60,587,"Customer","9170",4,"DISCARD","yes"
"212",262172,408,"4/27/2014 10:37","Howard at 2nd",63,"4/27/2014 10:44","Steuart at Market",74,406,"Customer","9170",4,"DISCARD","yes"
"213",262171,454,"4/27/2014 10:36","Howard at 2nd",63,"4/27/2014 10:44","Steuart at Market",74,578,"Customer","9170",4,"DISCARD","yes"
"214",254400,24219,"4/19/2014 13:39","Commercial at Montgomery",45,"4/19/2014 20:22","Powell at Post (Union Square)",71,412,"Customer","907",3,"DISCARD","yes"
"215",246631,2634,"4/13/2014 15:47","Harry Bridges Plaza (Ferry Building)",50,"4/13/2014 16:31","Powell at Post (Union Square)",71,366,"Customer","966",3,"DISCARD","yes"
"216",246562,511,"4/13/2014 14:33","Market at Sansome",77,"4/13/2014 14:41","Harry Bridges Plaza (Ferry Building)",50,461,"Customer","966",3,"DISCARD","yes"
"217",244852,252,"4/11/2014 10:31","Post at Kearny",47,"4/11/2014 10:35","Market at 4th",76,342,"Customer","949",3,"DISCARD","yes"
"218",244837,853,"4/11/2014 10:16","Grant Avenue at Columbus Avenue",73,"4/11/2014 10:30","Post at Kearny",47,342,"Customer","949",3,"DISCARD","yes"
"219",244618,988,"4/11/2014 8:29","Market at Sansome",77,"4/11/2014 8:45","Grant Avenue at Columbus Avenue",73,517,"Customer","949",3,"DISCARD","yes"
"220",244615,201,"4/11/2014 8:24","Market at 4th",76,"4/11/2014 8:28","Market at Sansome",77,339,"Customer","949",3,"DISCARD","yes"
"221",244013,518,"4/10/2014 16:55","South Van Ness at Market",66,"4/10/2014 17:03","Market at 4th",76,431,"Customer","949",3,"DISCARD","yes"
"222",243981,22350,"4/10/2014 16:34","MLK Library",11,"4/10/2014 22:46","MLK Library",11,168,"Customer","9539",4,"DISCARD","yes"
"223",243326,298,"4/10/2014 8:31","Grant Avenue at Columbus Avenue",73,"4/10/2014 8:36","Washington at Kearny",46,507,"Customer","949",3,"DISCARD","yes"
"224",243236,794,"4/10/2014 7:52","Market at 4th",76,"4/10/2014 8:05","Grant Avenue at Columbus Avenue",73,487,"Customer","949",3,"DISCARD","yes"
"225",242252,3036,"4/9/2014 12:07","San Francisco Caltrain (Townsend at 4th)",70,"4/9/2014 12:58","Embarcadero at Sansome",60,592,"Customer","9407",4,"DISCARD","yes"
"226",242250,3049,"4/9/2014 12:07","San Francisco Caltrain (Townsend at 4th)",70,"4/9/2014 12:58","Embarcadero at Sansome",60,267,"Customer","9407",4,"DISCARD","yes"
"227",241781,1062,"4/9/2014 8:07","Market at 4th",76,"4/9/2014 8:25","Embarcadero at Sansome",60,586,"Customer","949",3,"DISCARD","yes"
"228",241563,1384,"4/8/2014 21:27","Embarcadero at Folsom",51,"4/8/2014 21:50","Market at 4th",76,260,"Customer","949",3,"DISCARD","yes"
"229",241542,1612,"4/8/2014 20:59","Market at 4th",76,"4/8/2014 21:26","Embarcadero at Folsom",51,260,"Customer","949",3,"DISCARD","yes"
"230",237549,70841,"4/5/2014 13:34","Powell Street BART",39,"4/6/2014 9:14","Powell at Post (Union Square)",71,613,"Customer","9401",4,"DISCARD","yes"
"231",235518,686,"4/3/2014 14:35","Market at 10th",67,"4/3/2014 14:47","Market at Sansome",77,629,"Customer","91",2,"DISCARD","yes"
"232",235450,1272,"4/3/2014 13:27","Market at Sansome",77,"4/3/2014 13:49","Market at 10th",67,629,"Customer","91",2,"DISCARD","yes"
"233",234775,1053,"4/3/2014 6:43","Embarcadero at Sansome",60,"4/3/2014 7:00","Market at Sansome",77,591,"Customer","91",2,"DISCARD","yes"
"234",234762,2306,"4/3/2014 6:03","Market at Sansome",77,"4/3/2014 6:42","Embarcadero at Sansome",60,591,"Customer","91",2,"DISCARD","yes"
"235",233450,1665,"4/2/2014 5:22","Market at Sansome",77,"4/2/2014 5:50","Embarcadero at Sansome",60,383,"Customer","91",2,"DISCARD","yes"
"236",233149,2893,"4/1/2014 13:46","Temporary Transbay Terminal (Howard at Beale)",55,"4/1/2014 14:34","Powell Street BART",39,527,"Customer","9167",4,"DISCARD","yes"
"237",232758,891,"4/1/2014 6:37","Embarcadero at Sansome",60,"4/1/2014 6:52","Market at Sansome",77,300,"Customer","91",2,"DISCARD","yes"
"238",232748,1255,"4/1/2014 6:11","Market at Sansome",77,"4/1/2014 6:32","Embarcadero at Sansome",60,614,"Customer","91",2,"DISCARD","yes"
"239",231760,522,"3/31/2014 6:40","Civic Center BART (7th at Market)",72,"3/31/2014 6:49","Market at Sansome",77,422,"Customer","91",2,"DISCARD","yes"
"240",231749,1319,"3/31/2014 6:16","Powell Street BART",39,"3/31/2014 6:38","Civic Center BART (7th at Market)",72,422,"Customer","91",2,"DISCARD","yes"
"241",231744,1497,"3/31/2014 5:50","Market at Sansome",77,"3/31/2014 6:15","Powell Street BART",39,422,"Customer","91",2,"DISCARD","yes"
"242",231227,1624,"3/30/2014 10:22","Palo Alto Caltrain Station",34,"3/30/2014 10:49","Palo Alto Caltrain Station",34,90,"Customer","91",2,"DISCARD","yes"
"243",231213,1733,"3/30/2014 9:52","Palo Alto Caltrain Station",34,"3/30/2014 10:21","Palo Alto Caltrain Station",34,90,"Customer","91",2,"DISCARD","yes"
"244",231198,1743,"3/30/2014 9:21","Palo Alto Caltrain Station",34,"3/30/2014 9:50","Palo Alto Caltrain Station",34,88,"Customer","91",2,"DISCARD","yes"
"245",231186,1522,"3/30/2014 8:50","Palo Alto Caltrain Station",34,"3/30/2014 9:16","Palo Alto Caltrain Station",34,90,"Customer","91",2,"DISCARD","yes"
"246",231175,1738,"3/30/2014 8:18","San Antonio Caltrain Station",29,"3/30/2014 8:47","Palo Alto Caltrain Station",34,90,"Customer","91",2,"DISCARD","yes"
"247",231169,1703,"3/30/2014 7:49","Palo Alto Caltrain Station",34,"3/30/2014 8:17","San Antonio Caltrain Station",29,79,"Customer","91",2,"DISCARD","yes"
"248",223968,1314,"3/22/2014 17:57","Civic Center BART (7th at Market)",72,"3/22/2014 18:19","Embarcadero at Bryant",54,454,"Customer","940",3,"DISCARD","yes"
"249",223966,1337,"3/22/2014 17:56","Civic Center BART (7th at Market)",72,"3/22/2014 18:19","Embarcadero at Bryant",54,366,"Customer","940",3,"DISCARD","yes"
"250",223833,8296,"3/22/2014 15:25","Embarcadero at Folsom",51,"3/22/2014 17:43","Civic Center BART (7th at Market)",72,366,"Customer","940",3,"DISCARD","yes"
"251",223832,8490,"3/22/2014 15:25","Embarcadero at Folsom",51,"3/22/2014 17:47","Civic Center BART (7th at Market)",72,547,"Customer","940",3,"DISCARD","yes"
"252",220632,1151,"3/19/2014 22:14","Beale at Market",56,"3/19/2014 22:33","Embarcadero at Bryant",54,497,"Customer","9105",4,"DISCARD","yes"
"253",218412,930,"3/18/2014 15:01","Grant Avenue at Columbus Avenue",73,"3/18/2014 15:16","Embarcadero at Bryant",54,361,"Customer","9025",4,"DISCARD","yes"
"254",218349,5945,"3/18/2014 14:02","Powell Street BART",39,"3/18/2014 15:41","Market at 4th",76,629,"Customer","972",3,"DISCARD","yes"
"255",218310,2717,"3/18/2014 13:20","Harry Bridges Plaza (Ferry Building)",50,"3/18/2014 14:06","Grant Avenue at Columbus Avenue",73,361,"Customer","9025",4,"DISCARD","yes"
"256",218201,682,"3/18/2014 12:02","Embarcadero at Bryant",54,"3/18/2014 12:14","Harry Bridges Plaza (Ferry Building)",50,411,"Customer","9025",4,"DISCARD","yes"
"257",213079,296,"3/13/2014 17:43","Market at Sansome",77,"3/13/2014 17:48","2nd at Folsom",62,273,"Customer","9061",4,"DISCARD","yes"
"258",213015,617,"3/13/2014 17:25","Grant Avenue at Columbus Avenue",73,"3/13/2014 17:35","Post at Kearny",47,327,"Customer","9061",4,"DISCARD","yes"
"259",212807,809,"3/13/2014 15:47","Embarcadero at Vallejo",48,"3/13/2014 16:00","Grant Avenue at Columbus Avenue",73,327,"Customer","9061",4,"DISCARD","yes"
"260",212805,2015,"3/13/2014 15:46","San Pedro Square",6,"3/13/2014 16:19","Adobe on Almaden",5,665,"Customer","9536",4,"DISCARD","yes"
"261",212559,1437,"3/13/2014 12:39","Yerba Buena Center of the Arts (3rd @ Howard)",68,"3/13/2014 13:03","Steuart at Market",74,355,"Customer","9061",4,"DISCARD","yes"
"262",209547,23371,"3/11/2014 11:57","Civic Center BART (7th at Market)",72,"3/11/2014 18:26","San Francisco City Hall",58,545,"Customer","9401",4,"DISCARD","yes"
"263",209092,338,"3/11/2014 8:02","Evelyn Park and Ride",30,"3/11/2014 8:07","Mountain View Caltrain Station",28,696,"Customer","9409",4,"DISCARD","yes"
